age,job,salary,marital,education,targeted,balance,housing,contact,default
58,management,100000,married,tertiary,yes,2143,yes,unknown,no
44,technician,60000,single,secondary,yes,29,yes,unknown,no
33,entrepreneur,120000,married,secondary,yes,2,yes,unknown,no
47,blue-collar,20000,married,unknown,no,1506,yes,unknown,no
33,unknown,0,single,unknown,no,1,no,email,no
35,management,100000,married,tertiary,yes,231,yes,unknown,no
28,management,100000,single,tertiary,no,447,yes,unknown,no
42,entrepreneur,120000,divorced,tertiary,no,2,yes,unknown,yes
58,retired,55000,married,primary,yes,121,yes,unknown,no
43,technician,60000,single,secondary,yes,593,yes,unknown,no
41,admin.,50000,divorced,secondary,yes,270,yes,unknown,no
29,admin.,50000,single,secondary,yes,390,yes,unknown,no
53,technician,60000,married,secondary,yes,6,yes,unknown,no
58,technician,60000,married,unknown,no,71,yes,unknown,no
57,services,70000,married,secondary,yes,162,yes,unknown,no
51,retired,55000,married,primary,yes,229,yes,unknown,no
45,admin.,50000,single,unknown,no,13,yes,unknown,no
57,blue-collar,20000,married,primary,yes,52,yes,unknown,no
60,retired,55000,married,primary,yes,60,yes,unknown,no
33,services,70000,married,secondary,yes,0,yes,unknown,no
28,blue-collar,20000,married,secondary,yes,723,yes,unknown,no
56,management,100000,married,tertiary,yes,779,yes,unknown,no
32,blue-collar,20000,single,primary,yes,23,yes,unknown,no
25,services,70000,married,secondary,yes,50,yes,unknown,no
40,retired,NA,married,primary,yes,0,yes,unknown,no
44,admin.,50000,married,secondary,yes,-372,yes,unknown,no
39,management,100000,single,tertiary,no,255,yes,unknown,no
52,entrepreneur,120000,married,secondary,yes,113,yes,unknown,no
46,management,100000,single,secondary,yes,-246,yes,unknown,no
36,technician,60000,single,secondary,yes,265,yes,unknown,no
57,technician,60000,married,secondary,yes,839,no,unknown,no
49,management,100000,married,tertiary,yes,378,yes,unknown,no
60,admin.,50000,married,secondary,yes,39,yes,unknown,no
59,blue-collar,NA,married,secondary,yes,0,yes,unknown,no
51,management,100000,married,tertiary,yes,10635,yes,email,no
57,technician,60000,divorced,secondary,yes,63,yes,email,no
25,blue-collar,20000,married,secondary,yes,-7,yes,unknown,no
53,technician,60000,married,secondary,yes,-3,no,unknown,no
36,admin.,50000,divorced,secondary,yes,506,yes,unknown,no
37,admin.,50000,single,secondary,yes,0,yes,unknown,no
44,services,70000,divorced,secondary,yes,2586,yes,unknown,no
50,management,100000,married,secondary,yes,49,yes,unknown,no
60,blue-collar,20000,separated,unknown,no,104,yes,unknown,no
54,retired,NA,married,secondary,yes,529,yes,unknown,no
58,retired,55000,married,unknown,no,96,yes,unknown,no
36,admin.,50000,single,primary,yes,-171,yes,unknown,no
58,self-employed,60000,married,tertiary,yes,-364,yes,unknown,no
44,technician,60000,married,secondary,yes,0,yes,unknown,no
55,technician,60000,divorced,secondary,yes,0,no,unknown,no
29,management,100000,single,tertiary,no,0,yes,unknown,no
54,blue-collar,20000,married,secondary,yes,1291,yes,unknown,no
48,management,100000,divorced,tertiary,no,-244,yes,unknown,no
32,management,100000,married,tertiary,yes,0,yes,unknown,no
42,admin.,50000,single,secondary,yes,-76,yes,unknown,no
24,technician,60000,single,secondary,yes,-103,yes,unknown,no
38,entrepreneur,120000,single,tertiary,no,243,no,unknown,no
38,management,100000,single,tertiary,no,424,yes,unknown,no
47,blue-collar,20000,married,unknown,no,306,yes,unknown,no
40,blue-collar,NA,single,unknown,no,24,yes,unknown,no
46,services,70000,married,primary,yes,179,yes,unknown,no
32,admin.,50000,married,tertiary,yes,0,yes,unknown,no
53,technician,60000,divorced,secondary,yes,989,yes,unknown,no
57,blue-collar,20000,married,primary,yes,249,yes,unknown,no
33,services,70000,married,secondary,yes,790,yes,unknown,no
49,blue-collar,20000,married,unknown,no,154,yes,email,no
51,management,100000,married,tertiary,yes,6530,yes,unknown,no
60,retired,55000,married,tertiary,yes,100,no,unknown,no
59,management,100000,divorced,tertiary,no,59,yes,unknown,no
55,technician,60000,married,secondary,yes,1205,yes,unknown,no
35,blue-collar,20000,single,secondary,yes,12223,yes,unknown,no
57,blue-collar,20000,married,secondary,yes,5935,yes,unknown,no
31,services,70000,married,secondary,yes,25,yes,unknown,no
54,management,100000,separated,secondary,yes,282,yes,unknown,no
55,blue-collar,20000,married,primary,yes,23,yes,unknown,no
43,technician,60000,married,secondary,yes,1937,yes,unknown,no
53,technician,60000,married,secondary,yes,384,yes,unknown,no
44,blue-collar,20000,married,secondary,yes,582,no,unknown,no
55,services,70000,divorced,secondary,yes,91,no,unknown,no
49,services,70000,divorced,secondary,yes,0,yes,unknown,no
55,services,70000,divorced,secondary,yes,1,yes,unknown,yes
45,admin.,50000,single,secondary,yes,206,yes,unknown,no
47,services,70000,divorced,secondary,yes,164,no,unknown,no
42,technician,60000,single,secondary,yes,690,yes,unknown,no
59,admin.,50000,married,secondary,yes,2343,yes,unknown,no
46,self-employed,60000,married,tertiary,yes,137,yes,unknown,no
51,blue-collar,20000,married,primary,yes,173,yes,unknown,no
56,admin.,50000,married,secondary,yes,45,no,unknown,no
41,technician,60000,married,secondary,yes,1270,yes,unknown,no
46,management,100000,divorced,secondary,yes,16,yes,unknown,no
57,retired,55000,married,secondary,yes,486,yes,unknown,no
42,management,100000,single,secondary,yes,50,no,unknown,no
30,technician,60000,married,secondary,yes,152,yes,unknown,no
60,admin.,50000,married,secondary,yes,290,yes,unknown,no
60,blue-collar,20000,married,unknown,no,54,yes,unknown,no
57,entrepreneur,120000,divorced,secondary,yes,-37,no,email,no
36,management,100000,married,tertiary,yes,101,yes,unknown,no
55,blue-collar,20000,married,secondary,yes,383,no,unknown,no
60,retired,55000,married,tertiary,yes,81,yes,unknown,no
39,technician,60000,married,secondary,yes,0,yes,unknown,no
46,management,100000,married,tertiary,yes,229,yes,unknown,no
44,blue-collar,20000,married,secondary,yes,-674,yes,unknown,no
53,blue-collar,20000,married,primary,yes,90,no,unknown,no
52,blue-collar,20000,married,primary,yes,128,yes,unknown,no
59,blue-collar,20000,married,primary,yes,179,yes,unknown,no
27,technician,60000,single,tertiary,no,0,yes,unknown,no
44,blue-collar,20000,married,secondary,yes,54,yes,unknown,no
47,technician,60000,married,tertiary,yes,151,yes,unknown,no
34,admin.,50000,married,secondary,yes,61,no,unknown,no
59,retired,55000,single,secondary,yes,30,yes,unknown,no
45,management,100000,married,tertiary,yes,523,yes,unknown,no
29,services,70000,divorced,secondary,yes,31,yes,unknown,no
46,technician,60000,divorced,secondary,yes,79,no,unknown,no
56,self-employed,NA,married,primary,yes,-34,yes,unknown,no
36,blue-collar,20000,married,primary,yes,448,yes,unknown,no
59,retired,55000,divorced,primary,yes,81,yes,unknown,no
44,blue-collar,20000,married,secondary,yes,144,yes,unknown,no
41,admin.,50000,married,secondary,yes,351,yes,unknown,no
33,management,100000,single,tertiary,no,-67,yes,unknown,no
